douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
1329936.0,tt0116014,大内密探零零发,1996,"谷德昭, 周星驰","周星驰, 刘嘉玲, 李若彤","喜剧, 动作, 爱情",中国香港,89.0,3.0,6.0,2019-02-11,2019-02-11,2025-08-16,8.1,411867.0,6.9,4987.0,https://movie.douban.com/subject/1329936/,https://www.imdb.com/title/tt0116014/
1291853.0,tt0116209,英国病人,1996,安东尼·明格拉,"拉尔夫·费因斯, 朱丽叶·比诺什, 威廉·达福","剧情, 爱情, 战争",美国 英国,162.0,5.0,9.0,2018-01-19,2018-01-19,2018-01-19,8.5,290600.0,7.4,209936.0,https://movie.douban.com/subject/1291853/,https://www.imdb.com/title/tt0116209/
1292067.0,tt0116282,冰血暴,1996,乔尔·科恩,"威廉·H·梅西, 史蒂夫·布西密, 彼得·斯特曼","剧情, 惊悚, 犯罪",美国 英国,98.0,3.0,8.0,2022-10-10,2022-10-10,2023-02-28,8.0,112163.0,8.1,763012.0,https://movie.douban.com/subject/1292067/,https://www.imdb.com/title/tt0116282/
1293351.0,tt0116426,食神,1996,"周星驰, 李力持","周星驰, 莫文蔚, 薛家燕","喜剧, 动作",中国香港,95.0,3.0,6.0,2019-09-30,2019-09-30,2022-07-24,8.2,474063.0,7.2,10457.0,https://movie.douban.com/subject/1293351/,https://www.imdb.com/title/tt0116426/
1293013.0,tt0116629,独立日,1996,罗兰·艾默里奇,"威尔·史密斯, 杰夫·高布伦, 比尔·普尔曼","动作, 科幻, 冒险",美国,145.0,3.0,6.0,2021-09-19,2021-09-19,2022-07-24,8.1,310774.0,7.0,633256.0,https://movie.douban.com/subject/1293013/,https://www.imdb.com/title/tt0116629/
1297418.0,tt0116962,麻将,1996,杨德昌,"柯宇纶, 张震, 唐从圣","剧情, 喜剧",中国台湾,121.0,5.0,8.0,2019-04-14,2019-04-14,2023-02-28,8.7,61214.0,7.4,1958.0,https://movie.douban.com/subject/1297418/,https://www.imdb.com/title/tt0116962/
1292484.0,tt0117060,碟中谍,1996,布莱恩·德·帕尔玛,"汤姆·克鲁斯, 乔恩·沃伊特, 艾曼纽·贝阿","动作, 惊悚, 冒险",美国,110.0,4.0,8.0,2018-09-04,2018-09-04,2025-08-16,8.3,303636.0,7.2,503945.0,https://movie.douban.com/subject/1292484/,https://www.imdb.com/title/tt0117060/
1301948.0,tt0117338,梦旅人,1996,岩井俊二,"恰拉, 浅野忠信, 桥爪浩一","剧情, 奇幻",日本,68.0,4.0,8.0,2021-07-02,2021-07-02,2022-07-24,8.3,93829.0,7.1,2580.0,https://movie.douban.com/subject/1301948/,https://www.imdb.com/title/tt0117338/
1296217.0,tt0117381,一级恐惧,1996,格里高利·霍布里特,"理查·基尔, 爱德华·诺顿, 劳拉·琳妮","剧情, 悬疑, 犯罪",美国,129.0,4.0,8.0,2023-05-24,2023-05-24,2025-08-16,8.5,253693.0,7.7,267525.0,https://movie.douban.com/subject/1296217/,https://www.imdb.com/title/tt0117381/
1292728.0,tt0117500,勇闯夺命岛,1996,迈克尔·贝,"肖恩·康纳利, 尼古拉斯·凯奇, 艾德·哈里斯","动作, 冒险",美国,136.0,3.0,6.0,2021-08-12,2021-08-12,2025-08-16,8.6,264303.0,7.4,372505.0,https://movie.douban.com/subject/1292728/,https://www.imdb.com/title/tt0117500/
1306154.0,tt0117509,罗密欧与朱丽叶,1996,巴兹·鲁赫曼,"莱昂纳多·迪卡普里奥, 克莱尔·丹尼斯, 约翰·雷吉扎莫","剧情, 爱情, 犯罪",美国,120.0,3.0,6.0,2023-05-31,2023-05-31,2025-08-16,7.5,107768.0,6.7,253850.0,https://movie.douban.com/subject/1306154/,https://www.imdb.com/title/tt0117509/
1307793.0,tt0117797,燕尾蝶,1996,岩井俊二,"恰拉, 伊藤步, 三上博史","剧情, 犯罪",日本,148.0,4.0,8.0,2024-10-11,2024-10-11,2025-08-16,8.7,188121.0,7.5,4730.0,https://movie.douban.com/subject/1307793/,https://www.imdb.com/title/tt0117797/
1307724.0,tt0117904,天涯海角,1996,李志毅,"金城武, 陈慧琳, 王敏德","剧情, 爱情",中国香港,109.0,3.0,6.0,2024-06-20,2024-06-20,2025-08-16,8.0,15953.0,7.2,746.0,https://movie.douban.com/subject/1307724/,https://www.imdb.com/title/tt0117904/
1305164.0,tt0117905,甜蜜蜜,1996,陈可辛,"黎明, 张曼玉, 杨恭如","剧情, 爱情",中国香港,118.0,4.0,9.0,2018-04-24,2018-04-24,2021-01-30,8.9,651586.0,8.1,8544.0,https://movie.douban.com/subject/1305164/,https://www.imdb.com/title/tt0117905/
1292528.0,tt0117951,猜火车,1996,丹尼·博伊尔,"伊万·麦克格雷格, 艾文·布莱纳, 约翰尼·李·米勒","剧情, 犯罪",英国,93.0,3.0,7.0,2017-06-25,2017-06-25,2019-10-04,8.6,431366.0,8.1,754865.0,https://movie.douban.com/subject/1292528/,https://www.imdb.com/title/tt0117951/
1302181.0,tt0117970,热带鱼,1995,陈玉勋,"林嘉宏, 文英, 林正盛","剧情, 喜剧",中国台湾,107.0,4.0,8.0,2023-06-06,2023-06-06,2025-08-16,8.7,31683.0,7.6,679.0,https://movie.douban.com/subject/1302181/,https://www.imdb.com/title/tt0117970/
1300830.0,tt0118615,狂蟒之灾,1997,路易斯·罗沙,"詹妮弗·洛佩兹, 艾斯·库珀, 乔恩·沃伊特","动作, 惊悚, 冒险",美国 巴西,89.0,3.0,6.0,2019-09-07,2019-09-07,2022-07-24,6.7,56724.0,4.9,117582.0,https://movie.douban.com/subject/1300830/,https://www.imdb.com/title/tt0118615/
1291557.0,tt0118694,花样年华,2000,王家卫,"张曼玉, 梁朝伟, 潘迪华","剧情, 爱情",中国香港,98.0,5.0,10.0,2018-02-26,2018-02-26,2018-02-27,8.8,777877.0,8.1,180404.0,https://movie.douban.com/subject/1291557/,https://www.imdb.com/title/tt0118694/
1300044.0,tt0118715,谋杀绿脚趾,1998,"乔尔·科恩, 伊桑·科恩","杰夫·布里吉斯, 约翰·古德曼, 朱丽安·摩尔","喜剧, 犯罪",美国 英国,117.0,3.0,6.0,2023-03-12,2023-03-12,2025-08-16,7.7,68315.0,8.1,897711.0,https://movie.douban.com/subject/1300044/,https://www.imdb.com/title/tt0118715/
1292965.0,tt0118749,不羁夜,1997,保罗·托马斯·安德森,"马克·沃尔伯格, 路易斯·古兹曼, 伯特·雷诺兹","剧情, 情色",美国,155.0,4.0,8.0,2024-11-04,2024-11-04,2025-08-16,7.5,27519.0,7.9,293681.0,https://movie.douban.com/subject/1292965/,https://www.imdb.com/title/tt0118749/
